timestamp,eventType,contentId,personId,source,location,communityId
1465413032,VIEW,99,-8845298781299428018,Instagram,Ethiopia,37235
1465412560,VIEW,29,-1032019229384696495,Facebook,German,33189
1465416190,VIEW,93,-1130272294246983140,Facebook,England,38833
1465413895,FOLLOW,97,344280948527967603,Instagram,Eritrea,31009
1465412290,VIEW,47,-445337111692715325,Yahoo,Ethiopia,28987
1465413742,VIEW,32,-8763398617720485024,Google,German,43854
1465415950,VIEW,67,3609194402293569455,LinkedIn,Ethiopia,31026
1465415066,VIEW,43,4254153380739593270,LinkedIn,England,30865
1465413762,VIEW,13,344280948527967603,Facebook,Eritrea,26875
1465413771,VIEW,31,3609194402293569455,Google,America,17768
1465413864,VIEW,25,3609194402293569455,Wikipedia,Eritrea,43933
1465415229,VIEW,36,1908339160857512799,Wikipedia,America,38745
1465415228,VIEW,83,1908339160857512799,Wikipedia,England,38841
1465415691,VIEW,5,1908339160857512799,LinkedIn,America,29271
1465413171,VIEW,1,7781822014935525018,LinkedIn,America,15496
1465415259,VIEW,31,8239286975497580612,Facebook,Ethiopia,16630
1465415623,VIEW,0,8239286975497580612,Google,America,18699
1465412288,VIEW,86,-445337111692715325,Facebook,Ethiopia,23876
1465415693,VIEW,94,2766187446275090740,Facebook,America,37824
1465415691,VIEW,77,1908339160857512799,Wikipedia,America,15484
1465416196,VIEW,78,-1130272294246983140,Yahoo,Eritrea,38913
1465415431,VIEW,33,8239286975497580612,Wikipedia,German,27424
1465415060,VIEW,87,4254153380739593270,Instagram,Ethiopia,24104
1465413743,VIEW,99,-8763398617720485024,Facebook,America,23177
1465415565,VIEW,60,8239286975497580612,Wikipedia,German,32885
1465413879,COMMENT-BEST-POSITIVE,1,3609194402293569455,Instagram,Japan,30067
1465415695,VIEW,74,1908339160857512799,Instagram,Japan,37391
1465413954,COMMENT-BEST-POSITIVE,68,-8763398617720485024,Yahoo,Japan,13062
1465413735,VIEW,51,3609194402293569455,Facebook,Eritrea,33708
1465414324,VIEW,16,-1479311724257856983,Yahoo,Ethiopia,39180
1465413771,VIEW,10,3609194402293569455,Yahoo,Ethiopia,39376
1465413781,VIEW,23,3609194402293569455,LinkedIn,Ethiopia,21857
1465413864,VIEW,81,3609194402293569455,Google,America,43690
1465415756,LIKE,59,1908339160857512799,Yahoo,German,37179
1465413046,VIEW,20,-8845298781299428018,Facebook,Eritrea,38958
1465415686,VIEW,74,2766187446275090740,Facebook,Japan,26246
1465413867,LIKE,21,3609194402293569455,Yahoo,Japan,13489
1465413873,COMMENT-BEST-POSITIVE,59,344280948527967603,LinkedIn,Ethiopia,13671
1465415690,VIEW,96,1908339160857512799,Facebook,German,45051
1465415949,VIEW,37,3609194402293569455,Instagram,America,25147
1465413845,LIKE,76,344280948527967603,Yahoo,German,29767
1465413689,VIEW,53,-108842214936804958,Facebook,Eritrea,34427
1465413735,VIEW,90,3609194402293569455,Facebook,German,21618
1465413946,LIKE,25,-8763398617720485024,Instagram,German,30595
1465414478,VIEW,60,7022645187549453002,Facebook,Japan,23588
1465413752,VIEW,82,6879394870211872116,Instagram,England,42387
1465414324,VIEW,95,-1479311724257856983,Yahoo,Japan,45612
1465415574,VIEW,33,8239286975497580612,LinkedIn,Ethiopia,18321
1465414493,VIEW,96,7022645187549453002,Instagram,Ethiopia,23623
1465413751,VIEW,23,6879394870211872116,Wikipedia,America,24488
1465413689,VIEW,0,-108842214936804958,Google,England,38026
1465413781,VIEW,32,3609194402293569455,Yahoo,Eritrea,43982
1465413762,VIEW,70,344280948527967603,Wikipedia,Japan,34084
1465412561,VIEW,15,-1032019229384696495,Facebook,England,32447
1465413171,VIEW,42,7781822014935525018,Yahoo,England,30104
1465415430,VIEW,58,8239286975497580612,Yahoo,England,29901
1465413763,LIKE,3,3609194402293569455,Google,Japan,28684
1466034854,VIEW,16,-1387464358334758758,Yahoo,England,26490
1466034403,VIEW,47,-1387464358334758758,Instagram,Japan,34956
1466033932,VIEW,98,3609194402293569455,Wikipedia,Ethiopia,14166
1466034236,VIEW,95,-1387464358334758758,Instagram,Japan,13679
1466034456,COMMENT-AVERAGE-POSITIVE,62,-1387464358334758758,Google,Eritrea,42913
1466034895,COMMENT-AVERAGE-POSITIVE,2,-1387464358334758758,Yahoo,German,37647
1466033622,VIEW,51,-8424644554119645763,Google,German,29002
1466034855,VIEW,90,-1387464358334758758,Google,America,44336
